ID,Confirmed,Deaths
0,514625,10522
1,64220,313
2,842347,17014
3,329813,5660
4,3671177,59536
5,463773,6133
6,313659,7899
7,95339,1576
8,2057043,33741
9,1059191,18894
10,30503,507
11,181308,1968
12,1244521,23639
13,686922,13106
14,352792,5700
15,304026,4813
16,429289,6196
17,445029,10153
18,50845,742
19,413936,8297
20,638836,17195
21,755306,17247
22,522851,6978
23,305470,7008
24,582175,8448
25,103984,1410
26,210197,2148
27,304072,5260
28,84732,1256
29,912725,24524
30,191934,3915
31,1848432,50069
32,918011,12243
33,103063,1489
34,1020605,19033
35,440512,4847
36,165212,2370
37,1034347,25138
38,137562,2623
39,551156,9097
40,118027,1926
41,812972,11885
42,2795316,48259
43,385760,2106
44,19487,225
45,621163,10373
46,368189,5241
47,141975,2687
48,637004,7320
49,56390,698
50,514625,10522
51,64220,313
52,842347,17014
53,329813,5660
54,3671177,59536
55,463773,6133
56,313659,7899
57,95339,1576
58,2057043,33741
59,1059191,18894
60,30503,507
61,181308,1968
62,1244521,23639
63,686922,13106
64,352792,5700
65,304026,4813
66,429289,6196
67,445029,10153
68,50845,742
69,413936,8297
70,638836,17195
71,755306,17247
72,522851,6978
73,305470,7008
74,582175,8448
75,103984,1410
76,210197,2148
77,304072,5260
78,84732,1256
79,912725,24524
80,191934,3915
81,1848432,50069
82,918011,12243
83,103063,1489
84,1020605,19033
85,440512,4847
86,165212,2370
87,1034347,25138
88,137562,2623
89,551156,9097
90,118027,1926
91,812972,11885
92,2795316,48259
93,385760,2106
94,19487,225
95,621163,10373
96,368189,5241
97,141975,2687
98,637004,7320
99,56390,698
100,514625,10522
101,64220,313
102,842347,17014
103,329813,5660
104,3671177,59536
105,463773,6133
106,313659,7899
107,95339,1576
108,2057043,33741
109,1059191,18894
110,30503,507
111,181308,1968
112,1244521,23639
113,686922,13106
114,352792,5700
115,304026,4813
116,429289,6196
117,445029,10153
118,50845,742
119,413936,8297
120,638836,17195
121,755306,17247
122,522851,6978
123,305470,7008
124,582175,8448
125,103984,1410
126,210197,2148
127,304072,5260
128,84732,1256
129,912725,24524
130,191934,3915
131,1848432,50069
132,918011,12243
133,103063,1489
134,1020605,19033
135,440512,4847
136,165212,2370
137,1034347,25138
138,137562,2623
139,551156,9097
140,118027,1926
141,812972,11885
142,2795316,48259
143,385760,2106
144,19487,225
145,621163,10373
146,368189,5241
147,141975,2687
148,637004,7320
149,56390,698
150,514625,10522
151,64220,313
152,842347,17014
153,329813,5660
154,3671177,59536
155,463773,6133
156,313659,7899
157,95339,1576
158,2057043,33741
