ID,Confirmed,Deaths
0,516550,10550
1,63497,318
2,844870,16934
3,330166,5645
4,3663452,59003
5,463915,6125
6,312318,7899
7,95063,1560
8,1998640,33362
9,1061421,19219
10,30837,471
11,181016,1966
12,1246882,23609
13,686509,12901
14,352575,5775
15,304129,4863
16,427785,6210
17,445310,10151
18,50873,754
19,413405,8294
20,638466,17211
21,756026,17208
22,522129,6944
23,305574,7006
24,582629,8687
25,104189,1415
26,209011,2169
27,304184,5260
28,84649,1243
29,915262,24637
30,191984,3927
31,1894179,50539
32,921653,12252
33,103360,1503
34,1019794,19055
35,440457,4968
36,165087,2395
37,1031921,25071
38,138127,2626
39,551931,9114
40,117947,1938
41,810933,12000
42,2789086,48284
43,386022,2130
44,19522,226
45,620517,10328
46,366658,5271
47,142035,2695
48,637025,7322
49,56421,697
50,516550,10550
51,63497,318
52,844870,16934
53,330166,5645
54,3663452,59003
55,463915,6125
56,312318,7899
57,95063,1560
58,1998640,33362
59,1061421,19219
60,30837,471
61,181016,1966
62,1246882,23609
63,686509,12901
64,352575,5775
65,304129,4863
66,427785,6210
67,445310,10151
68,50873,754
69,413405,8294
70,638466,17211
71,756026,17208
72,522129,6944
73,305574,7006
74,582629,8687
75,104189,1415
76,209011,2169
77,304184,5260
78,84649,1243
79,915262,24637
80,191984,3927
81,1894179,50539
82,921653,12252
83,103360,1503
84,1019794,19055
85,440457,4968
86,165087,2395
87,1031921,25071
88,138127,2626
89,551931,9114
90,117947,1938
91,810933,12000
92,2789086,48284
93,386022,2130
94,19522,226
95,620517,10328
96,366658,5271
97,142035,2695
98,637025,7322
99,56421,697
100,516550,10550
101,63497,318
102,844870,16934
103,330166,5645
104,3663452,59003
105,463915,6125
106,312318,7899
107,95063,1560
108,1998640,33362
109,1061421,19219
110,30837,471
111,181016,1966
112,1246882,23609
113,686509,12901
114,352575,5775
115,304129,4863
116,427785,6210
117,445310,10151
118,50873,754
119,413405,8294
120,638466,17211
121,756026,17208
122,522129,6944
123,305574,7006
124,582629,8687
125,104189,1415
126,209011,2169
127,304184,5260
128,84649,1243
129,915262,24637
130,191984,3927
131,1894179,50539
132,921653,12252
133,103360,1503
134,1019794,19055
135,440457,4968
136,165087,2395
137,1031921,25071
138,138127,2626
139,551931,9114
140,117947,1938
141,810933,12000
142,2789086,48284
143,386022,2130
144,19522,226
145,620517,10328
146,366658,5271
147,142035,2695
148,637025,7322
149,56421,697
150,516550,10550
151,63497,318
152,844870,16934
153,330166,5645
154,3663452,59003
155,463915,6125
156,312318,7899
157,95063,1560
158,1998640,33362
159,1061421,19219
160,30837,471
161,181016,1966
162,1246882,23609
163,686509,12901
164,352575,5775
165,304129,4863
166,427785,6210
167,445310,10151
168,50873,754
169,413405,8294
170,638466,17211
171,756026,17208
172,522129,6944
173,305574,7006
174,582629,8687
175,104189,1415
176,209011,2169
177,304184,5260
178,84649,1243
179,915262,24637
180,191984,3927
181,1894179,50539
182,921653,12252
183,103360,1503
184,1019794,19055
185,440457,4968
186,165087,2395
187,1031921,25071
188,138127,2626
189,551931,9114
190,117947,1938
191,810933,12000
192,2789086,48284
193,386022,2130
194,19522,226
195,620517,10328
196,366658,5271
197,142035,2695
198,637025,7322
199,56421,697
200,516550,10550
201,63497,318
202,844870,16934
203,330166,5645
204,3663452,59003
205,463915,6125
206,312318,7899
207,95063,1560
208,1998640,33362
209,1061421,19219
210,30837,471
211,181016,1966
212,1246882,23609
213,686509,12901
214,352575,5775
215,304129,4863
216,427785,6210
217,445310,10151
218,50873,754
219,413405,8294
220,638466,17211
221,756026,17208
222,522129,6944
223,305574,7006
224,582629,8687
225,104189,1415
226,209011,2169
227,304184,5260
228,84649,1243
229,915262,24637
230,191984,3927
231,1894179,50539
232,921653,12252
233,103360,1503
234,1019794,19055
235,440457,4968
236,165087,2395
237,1031921,25071
238,138127,2626
239,551931,9114
240,117947,1938
241,810933,12000
242,2789086,48284
243,386022,2130
244,19522,226
245,620517,10328
246,366658,5271
247,142035,2695
248,637025,7322
249,56421,697
250,516550,10550
251,63497,318
252,844870,16934
253,330166,5645
254,3663452,59003
255,463915,6125
256,312318,7899
257,95063,1560
258,1998640,33362
259,1061421,19219
260,30837,471
261,181016,1966
262,1246882,23609
263,686509,12901
264,352575,5775
265,304129,4863
266,427785,6210
267,445310,10151
268,50873,754
269,413405,8294
270,638466,17211
271,756026,17208
272,522129,6944
273,305574,7006
274,582629,8687
275,104189,1415
276,209011,2169
277,304184,5260
278,84649,1243
279,915262,24637
280,191984,3927
281,1894179,50539
282,921653,12252
283,103360,1503
284,1019794,19055
285,440457,4968
286,165087,2395
287,1031921,25071
288,138127,2626
289,551931,9114
290,117947,1938
291,810933,12000
292,2789086,48284
293,386022,2130
294,19522,226
295,620517,10328
296,366658,5271
297,142035,2695
298,637025,7322
299,56421,697
300,516550,10550
301,63497,318
302,844870,16934
303,330166,5645
304,3663452,59003
305,463915,6125
306,312318,7899
307,95063,1560
308,1998640,33362
309,1061421,19219
310,30837,471
311,181016,1966
312,1246882,23609
313,686509,12901
314,352575,5775
315,304129,4863
316,427785,6210
317,445310,10151
318,50873,754
319,413405,8294
320,638466,17211
321,756026,17208
322,522129,6944
323,305574,7006
324,582629,8687
325,104189,1415
326,209011,2169
327,304184,5260
328,84649,1243
329,915262,24637
330,191984,3927
331,1894179,50539
332,921653,12252
333,103360,1503
334,1019794,19055
335,440457,4968
336,165087,2395
337,1031921,25071
338,138127,2626
339,551931,9114
340,117947,1938
341,810933,12000
342,2789086,48284
343,386022,2130
344,19522,226
345,620517,10328
346,366658,5271
347,142035,2695
348,637025,7322
349,56421,697
350,516550,10550
351,63497,318
352,844870,16934
353,330166,5645
354,3663452,59003
355,463915,6125
356,312318,7899
357,95063,1560
358,1998640,33362
359,1061421,19219
360,30837,471
361,181016,1966
362,1246882,23609
363,686509,12901
364,352575,5775
365,304129,4863
366,427785,6210
367,445310,10151
368,50873,754
369,413405,8294
370,638466,17211
371,756026,17208
372,522129,6944
373,305574,7006
374,582629,8687
375,104189,1415
376,209011,2169
377,304184,5260
378,84649,1243
379,915262,24637
380,191984,3927
381,1894179,50539
382,921653,12252
383,103360,1503
384,1019794,19055
385,440457,4968
386,165087,2395
387,1031921,25071
388,138127,2626
389,551931,9114
390,117947,1938
391,810933,12000
392,2789086,48284
393,386022,2130
394,19522,226
395,620517,10328
396,366658,5271
397,142035,2695
398,637025,7322
399,56421,697
400,516550,10550
401,63497,318
402,844870,16934
403,330166,5645
404,3663452,59003
405,463915,6125
406,312318,7899
407,95063,1560
408,1998640,33362
409,1061421,19219
410,30837,471
411,181016,1966
412,1246882,23609
413,686509,12901
414,352575,5775
415,304129,4863
416,427785,6210
417,445310,10151
418,50873,754
419,413405,8294
420,638466,17211
421,756026,17208
422,522129,6944
423,305574,7006
424,582629,8687
425,104189,1415
426,209011,2169
427,304184,5260
428,84649,1243
429,915262,24637
430,191984,3927
431,1894179,50539
432,921653,12252
433,103360,1503
434,1019794,19055
435,440457,4968
436,165087,2395
437,1031921,25071
438,138127,2626
439,551931,9114
440,117947,1938
441,810933,12000
442,2789086,48284
443,386022,2130
444,19522,226
445,620517,10328
446,366658,5271
447,142035,2695
448,637025,7322
449,56421,697
450,516550,10550
451,63497,318
452,844870,16934
453,330166,5645
454,3663452,59003
455,463915,6125
456,312318,7899
457,95063,1560
458,1998640,33362
459,1061421,19219
460,30837,471
461,181016,1966
462,1246882,23609
463,686509,12901
464,352575,5775
465,304129,4863
466,427785,6210
467,445310,10151
468,50873,754
469,413405,8294
470,638466,17211
